especie;price;price_dv01;price_ayer;price_dv01_ayer;price_max;price_dv01_max;tea_tir;d_proc;variacion_price
"A2E2D";2083.000000;2082.321317;2083.000000;2082.320024;2090.000000;2089.301878;0.050676;20180411;0.000000
"A2E2DD";103.163000;103.129391;103.008000;102.974377;108.299565;108.261774;0.051155;20180411;0.001505
"A2E7";2100.000000;2098.685379;2104.000000;2102.681432;2140.000000;2138.615622;0.065720;20180411;-0.001901
"A2E7DD";104.119000;104.053826;103.901000;103.835921;113.100000;113.026640;0.065794;20180411;0.002098
"A2M2";105.158310;105.150713;105.113918;105.106301;105.158310;105.150713;0.164155;20180411;0.000422
"A2M6";100.000000;100.000000;110.338005;110.338005;110.338005;110.338005;0.000000;20160330;-0.093694
"A2S6";100.000000;100.000000;100.000000;100.000000;110.783005;110.779190;1.000000;20160930;0.000000
"AA17D";1583.000000;1583.000000;1583.000000;1583.000000;1667.000000;1666.952966;1.000000;20170417;0.000000
"AA17DD";100.000000;100.000000;103.360000;103.359860;104.400000;104.397054;1.000000;20170410;-0.032508
"AA19";2135.500000;2135.301336;2148.695887;2148.492047;2152.207062;2151.985298;0.033451;20180411;-0.006141
"AA21";2203.000000;2202.431874;2210.000000;2209.428478;2210.288653;2209.703931;0.047852;20180411;-0.003167
"AA21DD";109.391000;109.362787;109.255000;109.226750;113.156693;113.121452;0.047447;20180411;0.001245
"AA22";103.694000;103.672242;103.750000;103.728188;111.200000;111.176337;0.257605;20180411;-0.000540
"AA25";2078.000000;2077.016440;2070.000000;2069.019604;2085.000000;2084.002162;0.057799;20180411;0.003865
"AA26";2240.000000;2238.727694;2241.548225;2240.268394;2241.548225;2240.268394;0.063904;20180411;-0.000691
"AA26DD";111.249000;111.185796;111.084000;111.020830;116.892423;116.816862;0.063688;20180411;0.001485
"AA36";1835.211406;1833.532643;1834.796723;1833.118482;1835.211406;1833.532643;0.084634;20180411;0.000226
"AA37";2145.000000;2142.989477;2132.000000;2130.007336;2195.000000;2192.819355;0.074946;20180411;0.006098
"AA46";2114.000000;2111.723362;2085.434827;2083.202970;2150.000000;2147.453742;0.076592;20180411;0.013697
"AA46DD";104.712000;104.599333;104.158000;104.046234;116.437405;114.316540;0.076725;20180411;0.005319
"AD16D";201.000000;200.999945;200.000000;199.999891;1150.000000;1149.974601;-0.999907;20161223;0.005000
"AE22";103.343927;103.309024;103.334936;103.299970;105.996426;105.959713;0.031868;20180411;0.000087
"AF17D";1544.000000;1543.999580;1540.000000;1539.999162;1606.000000;1605.980798;-0.296536;20170216;0.002597
"AF19";105.447684;105.440031;105.400550;105.392876;105.447684;105.440031;0.174623;20180411;0.000447
"AJ17D";1614.000000;1614.000000;1614.000000;1614.000000;1616.000000;1615.998685;1.000000;20170607;0.000000
"AL16";100.000000;100.000000;100.000000;100.000000;109.000000;211.995970;1.000000;20160711;0.000000
"AM17P";100.000000;100.000000;100.000000;100.000000;108.800000;108.794366;1.000000;20170327;0.000000
"AM18D";2029.000000;2028.998921;2030.000000;2029.998382;2048.000000;2047.997823;2.537893;20180313;-0.000493
"AM20";106.000000;105.987382;107.500000;107.486973;114.350000;114.328698;0.263998;20180411;-0.013953
"AMX8";106.800000;106.799976;106.125000;106.124953;110.294374;110.282681;-0.780862;20180223;0.006360
"AMX9";103.566052;103.558612;103.500000;103.493400;112.740000;112.725131;0.260411;20180411;0.000638
"AN18";2162.000000;2161.875493;2168.000000;2167.873473;2189.000000;2188.854403;0.027408;20180411;-0.002768
"AO16D";1516.000000;1515.999586;1514.000000;1513.999174;1543.000000;1542.989908;7.797646;20161024;0.001321
"AO17P";100.000000;100.000000;100.000000;100.000000;110.000000;109.991407;1.000000;20171006;0.000000
"AO20";2195.000000;2194.516768;2196.000000;2195.515037;2278.500000;2278.002201;0.042989;20180411;-0.000455
"AO20DD";108.800000;108.776048;108.750000;108.725984;120.917716;120.878232;0.043322;20180411;0.000460
"AS16";100.000000;100.000000;100.000000;100.000000;108.000000;107.998080;1.000000;20160928;0.000000
"AS17";1710.000000;1709.999074;1723.000000;1722.998601;1775.398678;1775.380270;1.262460;20170912;-0.007545
"AY16";100.000000;99.999639;100.000000;100.000000;108.220180;109.373001;1.000000;20160509;0.000000
"AY17";105.000000;105.000000;105.000000;105.000000;109.500000;109.494386;1.000000;20170505;0.000000
"AY24D";2341.250000;2340.573066;2338.250000;2337.572900;2358.000000;2357.300557;0.049372;20180411;0.001283
"AY24DD";115.900000;115.866512;115.880000;115.846437;122.900000;122.854754;0.050069;20180411;0.000173
"BDC16";1450.000000;1450.000000;1450.000000;1450.000000;1590.000000;1589.974097;0.000000;20160603;0.000000
"BDC18";524.450000;524.449861;526.206438;526.257941;1518.219306;1518.107372;-0.994979;20180309;-0.003338
"BDC19";1042.190932;1042.132741;1042.156288;1042.097327;1548.000000;1547.799687;0.009466;20180411;0.000033
"BDC24";101.052634;101.026377;100.981959;100.955762;106.369748;106.340722;0.287255;20180411;0.000700
"BDED";161.048282;161.047447;160.996919;160.998059;498.000000;497.972304;-0.135012;20170407;0.000319
"BLS A2E2D";2083.000000;2082.321317;2083.000000;2082.320024;2090.000000;2089.301878;0.050676;20180411;0.000000
"BLS A2E7";2100.000000;2098.685379;2104.000000;2102.681432;2140.000000;2138.615622;0.065720;20180411;-0.001901
"BLS A2M2";105.158310;105.150713;105.113918;105.106301;105.158310;105.150713;0.164155;20180411;0.000422
"BLS A2M6";100.000000;100.000000;110.338005;110.338005;110.338005;110.338005;0.000000;20160330;-0.093694
"BLS A2S6";100.000000;100.000000;100.000000;100.000000;110.783005;110.779190;1.000000;20160930;0.000000
"BLS AA17D";1532.930000;1532.930000;1583.000000;1582.997852;1667.000000;1666.952966;1.000000;20170410;-0.031630
"BLS AA19";2135.500000;2135.301336;2148.695887;2148.492047;2152.207062;2151.985298;0.033451;20180411;-0.006141
"BLS AA21";2203.000000;2202.431874;2210.000000;2209.428478;2210.288653;2209.703931;0.047852;20180411;-0.003167
"BLS AA22";103.694000;103.672242;103.750000;103.728188;111.200000;111.176337;0.257605;20180411;-0.000540
"BLS AA25";2078.000000;2077.016440;2070.000000;2069.019604;2085.000000;2084.002162;0.057799;20180411;0.003865
"BLS AA26";2240.000000;2238.727694;2241.548225;2240.268394;2241.548225;2240.268394;0.063904;20180411;-0.000691
"BLS AA36";1835.211406;1833.532643;1834.796723;1833.118482;1835.211406;1833.532643;0.084634;20180411;0.000226
"BLS AA37";2145.000000;2142.989477;2132.000000;2130.007336;2195.000000;2192.819355;0.074946;20180411;0.006098
"BLS AA46";2114.000000;2111.723362;2085.434827;2083.202970;2150.000000;2147.453742;0.076592;20180411;0.013697
"BLS AD16D";201.000000;200.999945;200.000000;199.999891;1150.000000;1149.974601;-0.999907;20161223;0.005000
"BLS AE22";106.226074;106.190193;106.219121;106.183174;106.226074;106.190193;0.023880;20180411;0.000065
"BLS AF17D";1544.000000;1543.999580;1540.000000;1539.999162;1606.000000;1605.980798;-0.296536;20170216;0.002597
"BLS AF19";105.447684;105.440031;105.400550;105.392876;105.447684;105.440031;0.174623;20180411;0.000447
"BLS AJ17D";1614.000000;1613.999562;1608.000000;1607.999127;1616.000000;1615.998685;-0.668481;20170602;0.003731
"BLS AL16";100.000000;100.000000;100.000000;100.000000;109.000000;211.995970;1.000000;20160711;0.000000
"BLS AM17P";100.000000;100.000000;100.000000;100.000000;108.800000;108.794360;1.000000;20170327;0.000000
"BLS AM18D";2029.000000;2028.998921;2030.000000;2029.998382;2048.000000;2047.997823;2.537893;20180313;-0.000493
"BLS AM20";106.000000;105.987382;107.500000;107.486973;114.350000;114.328698;0.263998;20180411;-0.013953
"BLS AMX8";106.800000;106.799976;106.125000;106.124953;110.257660;110.245864;-0.780862;20180223;0.006360
"BLS AMX9";103.566052;103.558612;103.500000;103.493400;112.740000;112.725131;0.260411;20180411;0.000638
"BLS AN18";2162.000000;2161.875493;2168.000000;2167.873473;2189.000000;2188.854403;0.027408;20180411;-0.002768
"BLS AO16D";1516.000000;1515.999586;1514.000000;1513.999174;1543.000000;1542.989908;7.797646;20161024;0.001321
"BLS AO17P";100.000000;100.000000;100.000000;100.000000;110.000000;109.991407;1.000000;20171006;0.000000
"BLS AO20";2195.000000;2194.516768;2196.000000;2195.515037;2278.500000;2278.002201;0.042989;20180411;-0.000455
"BLS AS16";100.000000;100.000000;100.000000;100.000000;108.000000;107.998080;1.000000;20160928;0.000000
"BLS AS17";1710.000000;1709.999074;1723.000000;1722.998601;1775.405377;1775.386901;1.275174;20170912;-0.007545
"BLS AY16";100.000000;99.999639;100.000000;100.000000;108.220180;109.373001;1.000000;20160509;0.000000
"BLS AY17";105.000000;105.000000;105.000000;105.000000;109.500000;109.494386;1.000000;20170505;0.000000
"BLS AY24D";2341.250000;2340.573066;2338.250000;2337.572900;2358.000000;2357.300557;0.049372;20180411;0.001283
"BLS BDC16";1450.000000;1450.000000;1450.000000;1450.000000;1590.000000;1589.974097;0.000000;20160603;0.000000
"BLS BDC18";524.450000;524.449861;526.206438;526.257941;1518.219306;1518.107372;-0.994979;20180309;-0.003338
"BLS BDC24";101.052634;101.026377;100.981959;100.955762;106.369748;106.340722;0.287255;20180411;0.000700
"BLS BDED";161.048282;161.047447;160.996919;160.998059;498.000000;497.972304;-0.135012;20170407;0.000319
"BLS BOGAR 18";9.820000;9.819995;10.000000;9.999992;132.700000;132.700000;0.468613;20180130;-0.018000
"BLS DICA";3180.000000;3177.818792;3178.000000;3175.819640;3195.000000;3192.689564;0.070405;20180411;0.000629
"BLS DICP";876.000000;875.313724;877.000000;876.311676;880.000000;879.307961;0.046404;20180411;-0.001140
"BLS DICY";3185.000000;3182.798966;3181.000000;3178.801670;3200.000000;3197.670029;0.067081;20180411;0.001257
"BLS GJ17 C";1676.000000;1675.999545;1680.000000;1679.999088;1760.000000;1759.808471;-0.679532;20170529;-0.002381
"BLS GJ17 E";1676.000000;1675.999545;1680.000000;1679.999088;1760.000000;1759.808471;-0.679532;20170529;-0.002381
"BLS H02N6";99.934304;99.933317;99.863804;99.860845;99.934304;99.933317;0.275574;20161031;0.000706
"BLS H07S6";100.000000;100.000000;99.924435;99.923350;100.000000;100.000000;1.000000;20160906;0.000756
"BLS H09N6";99.934134;99.933144;99.863452;99.860485;99.934134;99.933144;0.276379;20161107;0.000708
"BLS H10G6";100.000000;100.000000;99.925997;99.924888;100.000000;100.000000;1.000000;20160809;0.000741
"BLS H11E7";100.000000;100.000000;99.941371;99.940487;100.000000;100.000000;1.000000;20170110;0.000587
"BLS H13A6";100.000000;100.000000;99.896700;99.896673;100.000000;100.000000;0.000000;20160412;0.001034
"BLS H14S6";99.929127;99.928063;99.853074;99.849886;99.929127;99.928063;0.300289;20160912;0.000762
"BLS H17G6";100.000000;100.000000;99.927348;99.922992;100.000000;100.000000;1.000000;20160816;0.000727
"BLS H19O6";100.000000;100.000000;99.933336;99.932334;100.000000;100.000000;1.000000;20161018;0.000667
"BLS H20A6";100.000000;100.000000;99.899700;99.899673;100.000000;195.635794;0.000000;20160419;0.001004
"BLS H20L6";100.000000;100.000000;99.921049;99.921028;100.000000;100.000000;1.000000;20160719;0.000790
"BLS H21S6";100.000000;100.000000;99.924484;99.923400;100.000000;100.000000;1.000000;20160920;0.000756
"BLS H22J6";100.000000;100.000000;99.912500;99.912480;100.000000;100.000000;1.000000;20160621;0.000876
"BLS H24G6";91.937300;91.935054;91.942985;91.940716;91.942985;91.940716;0.372070;20160518;-0.000062
"BLS H25E7";100.000000;100.000000;99.941238;99.940353;100.000000;100.000000;1.000000;20170124;0.000588
"BLS H27L6";100.000000;100.000000;99.921733;99.921712;100.000000;100.000000;1.000000;20160726;0.000783
"BLS H29J6";99.923100;99.923079;99.845946;99.845905;99.923100;99.923079;0.324179;20160627;0.000773
"BLS H30M6";100.000000;100.000000;99.810617;99.810590;100.000000;100.000000;0.000000;20160330;0.001897
"BLS I02N6";99.942677;99.941812;99.881156;99.878567;99.942677;99.941812;0.236605;20161031;0.000616
"BLS I03G6";100.000000;100.000000;99.926684;99.926663;100.000000;100.000000;1.000000;20160802;0.000734
"BLS I06L6";100.000000;100.000000;100.000000;100.000000;100.000000;100.000000;1.000000;20160706;0.000000
"BLS I07S6";100.000000;100.000000;99.926800;99.926779;100.000000;100.000000;1.000000;20160906;0.000733
"BLS I10G6";99.922700;99.922679;99.845200;99.845159;99.922700;99.922679;0.326116;20160808;0.000776
"BLS I10Y7";99.941383;99.940500;99.878475;99.875830;99.941383;99.940500;0.242545;20170508;0.000630
"BLS I12O6";100.000000;100.000000;100.000000;100.000000;100.000000;100.000000;1.000000;20161018;0.000000
"BLS I13L6";100.000000;100.000000;99.923182;99.848214;100.000000;100.000000;1.000000;20160712;0.000769
"BLS I17G6";100.000000;100.000000;99.923300;99.923279;100.000000;100.000000;1.000000;20160816;0.000768
"BLS I20L6";100.000000;100.000000;99.922700;99.922679;100.000000;100.000000;1.000000;20160719;0.000774
"BLS I22J6";100.000000;100.000000;99.913100;99.913080;100.000000;100.000000;1.000000;20160621;0.000870
"BLS I24G6";99.924800;99.924779;99.851000;99.850959;99.924800;99.924779;0.315982;20160822;0.000739
"BLS I27L6";100.000000;100.000000;99.920000;99.919979;100.000000;100.000000;1.000000;20160726;0.000801
"BLS I28S6";100.000000;100.000000;99.927400;99.927379;100.000000;100.000000;1.000000;20160927;0.000727
"BLS I29J6";100.000000;100.000000;99.922000;99.921979;100.000000;100.000000;1.000000;20160628;0.000781
"BLS L11Y6";1.000000;1.000000;99.897400;99.897373;99.897400;99.897373;0.000000;20160510;-0.989990
"BLS L2DA8";2014.613168;2014.607275;2016.267490;2016.259983;2032.482313;2032.458006;0.022760;20180411;-0.000820
"BLS L2DD7D";1994.339128;1994.211921;1996.071360;1995.942512;2015.641059;2015.494545;0.016343;20180411;-0.000868
"BLS L2DE8";1952.170000;1952.170000;1949.330000;1949.330000;1952.580000;1952.580000;1.000000;20180126;0.001457
"BLS L2DF8";1996.830000;1996.830000;1994.070000;1994.070000;2015.104770;2015.101020;1.000000;20180223;0.001384
"BLS L2DG8";1994.766508;1994.698169;1996.423304;1996.353350;2014.166134;2014.079054;0.030146;20180411;-0.000830
